LV,Phrase
B1,a lot more
B1,alternative to sth
B1,and so on
B1,apart from
B1,a range of sth
B1,a wide range of sth
B1,as if…
B1,as if nothing had happened
B1,as much as
B1,as soon as possible
B1,at last
B1,at risk
B1,at times
B1,attached to sb/sth
B1,a variety of sth
B1,be about to do sth
B1,be going on
B1,What’s going on?
B1,be known as sb/sth
B1,benefit from sth
B1,be supposed to do sth
B1,be supposed to be sth
B1,break up
B1,break up with sb
B1,by the time (that)…
B1,can’t afford sth
B1,can’t afford to do sth
B1,care for sb
B1,caused by sth
B1,check sb/sth out
B1,choose to do sth
B1,clean up
B1,clean sth up
B1,click on sth
B1,come up with sth
B1,compared with sth
B1,concentrate on sth
B1,consist of sb/sth
B1,decide on sth
B1,depending on
B1,developing countries
B1,due to sb/sth
B1,economic growth
B1,end up
B1,even if
B1,even though
B1,exactly the same
B1,experience in sth
B1,fail to do sth
B1,fall asleep
B1,far more
B1,far more important
B1,far more opportunities
B1,far too
B1,far too much homework
B1,fed up
B1,for a while
B1,for free
B1,for instance
B1,for life
B1,a job for life
B1,for long
B1,for some time
B1,get on with sb
B1,get to know sb
B1,get used to sth
B1,get used to doing sth
B1,global warming
B1,go ahead
B1,go ahead with sth
B1,go wrong
B1,growth in sth
B1,have no idea
B1,have sth in common
B1,have sth in common with sb
B1,have sth in common with sth
B1,hear of sb/sth
B1,heart disease
B1,high street
B1,higher education
B1,if I were you
B1,in addition
B1,in addition to sb/sth
B1,in case…
B1,just in case…
B1,in charge of sb/sth
B1,in contrast
B1,in contrast to sb/sth
B1,in favour of sb/sth
B1,in general
B1,in order of sth
B1,in order to do sth
B1,in other words
B1,in particular
B1,in public
B1,in recent years
B1,in response to sth
B1,in terms of sth
B1,in the case of sth
B1,in the form of sb/sth
B1,in the way (that)…
B1,in this case
B1,in time
B1,in time for sth
B1,in time to do sth
B1,in touch
B1,be in touch
B1,get in touch
B1,keep in touch
B1,in touch with sb
B1,I wonder if…
B1,leave sb/sth out
B1,likely to do sth
B1,look forward to sth
B1,look out
B1,make a difference
B1,make sth up
B1,manage to do sth
B1,mean to do sth
B1,I didn’t mean to.
B1,more and more
B1,move on
B1,move on to sth
B1,no longer
B1,not any longer
B1,no more than…
B1,not even
B1,I didn’t even see it.
B1,not necessarily
B1,not only
B1,not only… but also…
B1,on a regular basis
B1,on my own
B1,on their own
B1,on your own
B1,on the other hand
B1,on the street
B1,on the streets
B1,on the way
B1,or something
B1,or somebody
B1,or somewhere
B1,or two
B1,a day or two
B1,a moment or two
B1,a pound or two
B1,ought to
B1,out there
B1,over the years
B1,over time
B1,participate in sth
B1,point of view
B1,point out
B1,point sth out
B1,point out that…
B1,prepared to do sth
B1,primary school
B1,prime minister
B1,put sth up
B1,quite a…
B1,quite a good player
B1,quite a long time
B1,raise money
B1,raise money for sth
B1,rather than
B1,reaction to sth
B1,relate to sth/sb
B1,relating to sth/sb
B1,related to sth/sb
B1,respect for sb/sth
B1,result in sth
B1,rise in sth
B1,a rise in the number of visitors
B1,run out
B1,run out of sth
B1,search engine
B1,secondary school
B1,set sth up
B1,slow down
B1,so far
B1,some kind of…
B1,succeed in doing sth
B1,suffer from sth
B1,sum up
B1,sum sth up
B1,sure to do sth
B1,take sb/sth on
B1,take up sth
B1,take up too much room
B1,take sth up
B1,take up golf
B1,tell the truth
B1,tend to do sth
B1,tend to be sth
B1,thanks to sb/sth
B1,that’s it
B1,the case
B1,be the case that…
B1,the fact that…
B1,those who…
B1,There are those who say…
B1,to do with sb/sth
B1,be to do with sb/sth
B1,have to do with sb/sth
B1,together with
B1,too bad
B1,try and…
B1,turn out
B1,turn out to be sth
B1,turn sth up
B1,unable to do sth
B1,up to sth
B1,up to 60 miles per hour
B1,way of life
B1,well known
B1,work on sth
B1,work sth out
B1,wrong with sb/sth
B1,you see
B2,a bit of a…
B2,account for sth
B2,accused of sth
B2,act as sth
B2,aimed at sb
B2,aimed at doing sth
B2,all the way
B2,a means of sth
B2,a means of communication
B2,a means of transport
B2,appeal to sb
B2,apply to sb/sth
B2,as a whole
B2,as far as I am concerned
B2,as follows…
B2,as for sb/sth
B2,as long as…
B2,associated with sth
B2,associated with doing sth
B2,as though…
B2,at once
B2,at present
B2,at some point
B2,at the end of the day
B2,at this point
B2,at this stage
B2,awareness of sth
B2,back sb/sth up
B2,be charged with sth
B2,be charged with doing sth
B2,be derived from sth
B2,be expected to do sth
B2,be known to do sth
B2,be made up of sth
B2,be surrounded by sb/sth
B2,be to blame
B2,be to blame for sth
B2,both sides
B2,both sides of the argument
B2,on both sides
B2,bound to do sth
B2,bound to be sth
B2,bring sb up
B2,by now
B2,call for sth
B2,case study
B2,come across sb/sth
B2,come true
B2,a dream come true
B2,concerned about sth
B2,concerned with sth
B2,confidence in sb/sth
B2,contribute to sth
B2,control over sb/sth
B2,cope with sth
B2,decline in sth
B2,a decline in student numbers
B2,dependent on sb/sth
B2,despite the fact that…
